,CenterLatitude,CenterLongitude
981,54.52845,11.24375
982,54.52725,11.24375
983,54.52605,11.24375
984,54.52545,11.24375
985,54.52475,11.24375
986,54.52355,11.24375
987,54.52245,11.24375
988,54.52185,11.24375
989,54.52115,11.24025
990,54.50485,11.22975
991,55.61455,12.99725
992,55.61485,12.99725
993,54.50745,11.23325
994,54.50695,11.23325
995,54.50645,11.23325
996,54.50605,11.22975
997,55.61575,12.99375
998,54.50575,11.22975
999,54.50535,11.22975
1000,54.50515,11.22975
1001,55.61665,12.99375
1002,54.51105,11.23675
1003,54.51045,11.23325
1004,54.50975,11.23325
1005,54.50905,11.23325
1006,54.50855,11.23325
1007,54.50795,11.23325
1008,54.53355,11.29625
1009,54.53375,11.29625
1010,54.53435,11.29275
1011,54.53465,11.29275
1012,54.53525,11.28925
1013,54.53545,11.28925
1014,54.53575,11.28575
1015,54.53635,11.28225
1016,54.53685,11.28225
1017,54.53725,11.27875
1018,54.53745,11.27875
1019,54.53785,11.27875
1020,54.53845,11.27525
1021,54.53855,11.27525
1022,54.53875,11.27175
1023,54.53915,11.27175
1024,54.53955,11.26825
1025,54.53995,11.26825
1026,54.54045,11.26475
1027,54.54085,11.26475
1028,54.41025,10.20075
1029,54.54165,11.26125
1030,56.97705,8.92325
1031,57.68405,11.85975
1032,54.54205,11.25775
1033,57.68355,11.85975
1034,54.54225,11.25775
1035,54.54245,11.25775
1036,57.68265,11.85625
1037,54.54275,11.25425
1038,56.97895,8.92325
1039,57.68165,11.85275
1040,54.54315,11.25425
1041,57.68025,11.85275
1042,54.53035,11.31025
1043,54.53085,11.30675
1044,54.53105,11.30675
1045,54.53135,11.30675
1046,54.53195,11.30325
1047,54.53245,11.29975
1048,54.53265,11.29975
1049,54.51465,6.37525
1050,54.39545,10.20075
1051,57.69335,11.90875
1052,57.69295,11.91225
1053,55.61995,12.99025
1054,55.62025,12.99025
1055,54.40275,10.20075
1056,55.62145,12.98675
1057,54.40405,10.20075
1058,55.62235,12.98675
1059,55.08805,8.56975
1060,54.40585,10.20075
1061,55.50275,7.82425
1062,57.68755,11.87025
